,time,latitude,longitude,adt,sla,ugos,ugosa,vgos,vgosa,State,year
51,1993-12-31 00:00:00,25.375,-82.875,0.1062,-0.0251,0.0534,0.013,-0.0925,-0.0064,FL,1993
52,1993-12-31 00:00:00,25.375,-82.625,0.0852,-0.0333,0.0608,0.0417,-0.1216,-0.0562,FL,1993
53,1993-12-31 00:00:00,25.375,-82.375,0.0757,-0.0433,0.0896,0.0482,-0.0399,-0.1074,FL,1993
54,1993-12-31 00:00:00,25.375,-82.125,0.0622,-0.0669,0.1085,0.023,-0.0595,-0.1429,FL,1993
55,1993-12-31 00:00:00,25.375,-81.875,0.0677,-0.085,0.1197,0.0101,0.0533,-0.1069,FL,1993
56,1993-12-31 00:00:00,25.375,-81.625,0.0963,-0.0963,0.101,0.0037,0.322,0.0184,FL,1993
57,1993-12-31 00:00:00,25.375,-81.375,0.1484,-0.0834,0.0578,0.0596,0.2669,0.067,FL,1993
58,1993-12-31 00:00:00,25.375,-81.125,0.1852,-0.0766,0.0978,0.167,0.186,0.0801,FL,1993
59,1993-12-31 00:00:00,25.375,-80.375,0.1414,0.0081,0.1471,-0.0855,0.0757,0.0317,FL,1993
60,1993-12-31 00:00:00,25.375,-80.125,0.1932,0.013,0.2251,-0.0664,0.7693,0.0534,FL,1993
61,1993-12-31 00:00:00,25.375,-79.875,0.3807,0.0201,0.2705,-0.0536,1.3075,-0.0232,FL,1993
62,1993-12-31 00:00:00,25.625,-87.625,0.3706,-0.1975,0.546,0.4951,0.7213,0.4978,FL,1993
63,1993-12-31 00:00:00,25.625,-87.375,0.5007,-0.1002,0.7064,0.6053,0.7914,0.6277,FL,1993
64,1993-12-31 00:00:00,25.625,-87.125,0.6039,-0.0155,0.6516,0.5106,0.4554,0.3749,FL,1993
65,1993-12-31 00:00:00,25.625,-86.875,0.6549,0.0318,0.7048,0.508,0.3243,0.3282,FL,1993
66,1993-12-31 00:00:00,25.625,-86.625,0.7116,0.0969,0.4741,0.2188,0.3344,0.401,FL,1993
67,1993-12-31 00:00:00,25.625,-86.375,0.7471,0.1482,0.5902,0.2825,0.1445,0.2326,FL,1993
68,1993-12-31 00:00:00,25.625,-86.125,0.7563,0.1805,0.7093,0.3675,0.059,0.2281,FL,1993
69,1993-12-31 00:00:00,25.625,-85.875,0.7533,0.2196,0.6157,0.2803,-0.1307,0.1803,FL,1993
70,1993-12-31 00:00:00,25.625,-85.625,0.6993,0.2251,0.5224,0.2139,-0.5152,-0.1106,FL,1993
71,1993-12-31 00:00:00,25.625,-85.375,0.5871,0.1801,0.4498,0.1756,-0.8964,-0.4761,FL,1993
72,1993-12-31 00:00:00,25.625,-85.125,0.4318,0.0911,0.3063,0.0729,-0.8617,-0.4797,FL,1993
73,1993-12-31 00:00:00,25.625,-84.875,0.3154,0.0295,0.2256,0.0412,-0.7173,-0.4127,FL,1993
74,1993-12-31 00:00:00,25.625,-84.625,0.2067,-0.0375,0.1286,0.0173,-0.5154,-0.2641,FL,1993
75,1993-12-31 00:00:00,25.625,-84.375,0.1632,-0.0481,-0.0149,-0.0658,-0.1706,0.028,FL,1993
76,1993-12-31 00:00:00,25.625,-84.125,0.1365,-0.0417,-0.0231,-0.0933,-0.0485,0.0719,FL,1993
77,1993-12-31 00:00:00,25.625,-83.875,0.1386,-0.0286,-0.0384,-0.1177,0.0172,0.057,FL,1993
78,1993-12-31 00:00:00,25.625,-83.625,0.1372,-0.0273,0.0293,-0.0524,-0.0305,-0.0359,FL,1993
79,1993-12-31 00:00:00,25.625,-83.375,0.1311,-0.0349,0.1073,0.0132,-0.0603,-0.0329,FL,1993
80,1993-12-31 00:00:00,25.625,-83.125,0.1254,-0.035,0.1465,0.0313,-0.0664,0.0234,FL,1993
81,1993-12-31 00:00:00,25.625,-82.875,0.1266,-0.0334,0.1443,0.062,-0.0628,-0.031,FL,1993
82,1993-12-31 00:00:00,25.625,-82.625,0.1243,-0.0449,0.0957,0.0755,-0.1033,-0.081,FL,1993
83,1993-12-31 00:00:00,25.625,-82.375,0.1185,-0.0568,0.1071,0.0792,-0.0848,-0.0825,FL,1993
84,1993-12-31 00:00:00,25.625,-82.125,0.0978,-0.0717,0.0973,0.021,-0.0508,-0.0898,FL,1993
85,1993-12-31 00:00:00,25.625,-81.875,0.0934,-0.0829,0.0645,-0.0414,0.0825,-0.0437,FL,1993
86,1993-12-31 00:00:00,25.625,-81.625,0.1154,-0.0863,0.0429,-0.0635,0.2164,-0.0085,FL,1993
87,1993-12-31 00:00:00,25.625,-81.375,0.1553,-0.0878,0.0194,-0.0154,0.1555,-0.0017,FL,1993
88,1993-12-31 00:00:00,25.625,-80.375,0.1357,0.0146,0.0456,-0.0342,0.1377,-0.0682,FL,1993
89,1993-12-31 00:00:00,25.625,-80.125,0.1543,0.0166,0.1609,-0.0469,0.7465,0.0456,FL,1993
90,1993-12-31 00:00:00,25.625,-79.875,0.3217,0.0176,0.2876,0.0598,1.2586,-0.0778,FL,1993
91,1993-12-31 00:00:00,25.875,-97.125,0.2519,0.0131,0.1372,0.1253,-0.0608,-0.0436,TX,1993
92,1993-12-31 00:00:00,25.875,-96.875,0.2294,-0.0014,0.1298,0.1112,-0.2071,-0.1676,TX,1993
93,1993-12-31 00:00:00,25.875,-96.625,0.1852,-0.0386,0.1143,0.0854,-0.2487,-0.229,TX,1993
94,1993-12-31 00:00:00,25.875,-96.375,0.1494,-0.0745,0.0734,0.027,-0.2306,-0.2606,TX,1993
95,1993-12-31 00:00:00,25.875,-96.125,0.1093,-0.1224,0.0354,-0.0318,-0.2182,-0.28,TX,1993
96,1993-12-31 00:00:00,25.875,-95.875,0.0947,-0.1473,0.0337,-0.0453,0.0813,0.028,TX,1993
97,1993-12-31 00:00:00,25.875,-95.625,0.1437,-0.1062,0.0461,-0.0366,0.4897,0.4651,TX,1993
98,1993-12-31 00:00:00,25.875,-95.375,0.2355,-0.0177,0.0277,-0.0507,0.5134,0.5157,TX,1993
99,1993-12-31 00:00:00,25.875,-95.125,0.2977,0.0461,-0.0023,-0.0688,0.281,0.295,TX,1993
100,1993-12-31 00:00:00,25.875,-94.875,0.3318,0.0833,0.085,0.0349,0.1474,0.1665,TX,1993
101,1993-12-31 00:00:00,25.875,-94.625,0.3521,0.1072,0.0606,0.0196,0.136,0.1628,TX,1993
102,1993-12-31 00:00:00,25.875,-94.375,0.3734,0.1325,0.0612,0.0182,0.0651,0.0904,TX,1993
103,1993-12-31 00:00:00,25.875,-94.125,0.3734,0.1349,0.0446,-0.0017,-0.022,-0.007,TX,1993
104,1993-12-31 00:00:00,25.875,-93.875,0.3687,0.1304,0.0641,0.0174,-0.0995,-0.103,TX,1993
105,1993-12-31 00:00:00,25.875,-93.625,0.3499,0.1081,0.1373,0.0888,-0.0529,-0.0801,TX,1993
106,1993-12-31 00:00:00,25.875,-87.625,0.2658,-0.2897,0.6179,0.5092,0.4549,0.2836,FL,1993
107,1993-12-31 00:00:00,25.875,-87.375,0.36,-0.2168,0.7589,0.6088,0.7447,0.6298,FL,1993
108,1993-12-31 00:00:00,25.875,-87.125,0.4811,-0.1077,0.8084,0.6146,0.59,0.5601,FL,1993
109,1993-12-31 00:00:00,25.875,-86.875,0.5489,-0.0377,0.5544,0.3198,0.3937,0.4492,FL,1993
110,1993-12-31 00:00:00,25.875,-86.625,0.6073,0.0381,0.6762,0.4144,0.2281,0.3348,FL,1993
111,1993-12-31 00:00:00,25.875,-86.375,0.6157,0.0721,0.6832,0.3956,0.0965,0.2335,FL,1993
112,1993-12-31 00:00:00,25.875,-86.125,0.6395,0.1243,0.5591,0.2367,0.1316,0.325,FL,1993
113,1993-12-31 00:00:00,25.875,-85.875,0.6394,0.1664,0.6153,0.2859,-0.0746,0.2066,FL,1993
114,1993-12-31 00:00:00,25.875,-85.625,0.6019,0.1839,0.5111,0.2135,-0.388,-0.0367,FL,1993
115,1993-12-31 00:00:00,25.875,-85.375,0.5085,0.1478,0.4643,0.2186,-0.7697,-0.4095,FL,1993
116,1993-12-31 00:00:00,25.875,-85.125,0.3758,0.0703,0.3574,0.1693,-0.7507,-0.4247,FL,1993
117,1993-12-31 00:00:00,25.875,-84.875,0.2759,0.017,0.2458,0.1028,-0.5497,-0.3144,FL,1993
118,1993-12-31 00:00:00,25.875,-84.625,0.2001,-0.0309,0.0623,-0.0215,-0.3536,-0.1893,FL,1993
119,1993-12-31 00:00:00,25.875,-84.375,0.1651,-0.0384,0.0187,-0.0311,-0.1243,0.0485,FL,1993
120,1993-12-31 00:00:00,25.875,-84.125,0.1544,-0.0235,-0.0178,-0.0576,-0.0072,0.1364,FL,1993
121,1993-12-31 00:00:00,25.875,-83.875,0.1554,-0.0079,-0.0096,-0.0567,-0.0641,-0.0253,FL,1993
122,1993-12-31 00:00:00,25.875,-83.625,0.134,-0.0278,0.0273,-0.0273,-0.1348,-0.1177,FL,1993
123,1993-12-31 00:00:00,25.875,-83.375,0.1231,-0.036,0.1174,0.0026,-0.1086,-0.0273,FL,1993
124,1993-12-31 00:00:00,25.875,-83.125,0.1164,-0.041,0.1148,0.0363,-0.0243,-0.0184,FL,1993
125,1993-12-31 00:00:00,25.875,-82.875,0.1295,-0.0444,0.0993,0.0625,-0.0609,-0.0498,FL,1993
126,1993-12-31 00:00:00,25.875,-82.625,0.1244,-0.0573,0.1544,0.063,-0.0914,-0.086,FL,1993
127,1993-12-31 00:00:00,25.875,-82.375,0.1155,-0.0686,0.1336,0.0621,-0.0522,-0.0548,FL,1993
128,1993-12-31 00:00:00,25.875,-82.125,0.1124,-0.074,0.0531,0.0118,0.0014,-0.0019,FL,1993
129,1993-12-31 00:00:00,25.875,-81.875,0.1207,-0.0731,-0.0064,-0.0466,0.0129,-0.0212,FL,1993
