geoid,geoName,year,sector,establishments,employment,wages,gdp
9000,Connecticut,2018,Manufacturing,2451,87972,7481794142,16463438787
9000,Connecticut,2017,Professional and Business Services,13751,122934,11799476362,21531607322
9000,Connecticut,2016,Public Administration,945,27187,1970210560,13200734473
9000,Connecticut,2017,Trade Transportation and Utilities,14793,181967,9210192704,25495471328
9000,Connecticut,2017,Construction,5708,32496,2191884282,4675902683
9000,Connecticut,2017,Financial Activities,6818,60056,10965885507,44747507543
37000,North Carolina,2020,Construction,3733,24237,1210719660,2382819107
37000,North Carolina,2017,Natural Resources and Mining,625,4579,166443952,820173512
37000,North Carolina,2017,Other Services,2611,11140,305121913,936168944.9
37000,North Carolina,2019,Other Services,2777,11455,344575140,1042598612
37000,North Carolina,2019,Professional and Business Services,5489,43877,2271083754,4131785821
37000,North Carolina,2017,Public Administration,511,30321,1517484877,10228795793
37000,North Carolina,2017,Trade Transportation and Utilities,7077,89904,2991332348,7247258921
37000,North Carolina,2019,Trade, Transportation, and Utilitie,7101,91733
37000,North Carolina,2017,Financial Activities,3268,18642,926005145,5658961098
37000,North Carolina,2019,Financial Activities,3413,18309,994312155,5914267167
37000,North Carolina,2016,Leisure and Hospitality,3582,64453,1047883054,2228814243
37000,North Carolina,2018,Leisure and Hospitality,3787,65835,1137745043,2484891908
37000,North Carolina,2020,Natural Resources and Mining,636,4236,168925448,570576189.5
37000,North Carolina,2020,Public Administration,511,31184,1717969650,1668211376
37000,North Carolina,2016,Trade Transportation and Utilities,7073,89045,2908207769,7088130668
37000,North Carolina,2016,All Industries Total,30658,430756,16520567709,44330630579
37000,North Carolina,2018,All Industries Total,31664,440209,17899701566,47597739966
37000,North Carolina,2016,Financial Activities,3118,18071,855760679,5386650391
37000,North Carolina,2018,Education and Health Services,3698,101263,4578779132,4772743357
37000,North Carolina,2019,Education and Health Services,3739,102662,4791661289,5003283514
37000,North Carolina,2018,Information,453,5447,329285327,1080921039
37000,North Carolina,2020,Leisure and Hospitality,3913,58019,1115527236,2426377299
37000,North Carolina,2020,All Industries Total,33707,429967,19499039523,49919241499
37000,North Carolina,2018,Financial Activities,3338,18492,965538808,5924825871
37000,North Carolina,2020,Education and Health Services,3925,100342,4991714009,4875240599
37000,North Carolina,2016,Information,426,5788,289212076,976655394.8
37000,North Carolina,2018,Manufacturing,843,25887,1573447411,5556946891
37000,North Carolina,2020,Other Services,2923,10846,358031919,1077337435
37000,North Carolina,2016,Professional and Business Services,5223,43179,1999853921,3568210825
37000,North Carolina,2019,Public Administration,512,31023,1647921880,11358632151
37000,North Carolina,2017,Construction,3243,20377,898360811,1709506965
37000,North Carolina,2020,Financial Activities,3583,18157,1133881659,6403675408
37000,North Carolina,2017,Leisure and Hospitality,3661,65202,1094276285,2301005467
37000,North Carolina,2020,Manufacturing,839,24623,1586965247,5408825122
37000,North Carolina,2019,Natural Resources and Mining,634,4316,168477321,654022686.2
37000,North Carolina,2017,All Industries Total,31163,435638,17254868527,45793721410
37000,North Carolina,2019,Construction,3488,24156,1172041416,2173092588
37000,North Carolina,2016,Manufacturing,828,26070,1521431728,5573272327
37000,North Carolina,2016,Natural Resources and Mining,620,4701,164973598,723436022.5
37000,North Carolina,2018,Natural Resources and Mining,628,4301,161635614,668970095
37000,North Carolina,2016,Other Services,2513,11187,296888121,921307982.9
37000,North Carolina,2018,Other Services,2703,11240,321740546,988344586.7
37000,North Carolina,2018,Professional and Business Services,5337,43889,2157157250,3875678812
